prop_id,prop_type,province,city,location,bedrooms,bathrooms,area,purpose,date_added,price
3598,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",1,-,53 Sq. Yd.,For Sale,7/18/2023,PKR38.4 Lakh
3599,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,110 Sq. Yd.,For Sale,7/18/2023,PKR42.3 Lakh
3600,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,7/18/2023,PKR1.45 Crore
3601,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",4,4,350 Sq. Yd.,For Sale,7/11/2023,PKR2.05 Crore
3602,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,106 Sq. Yd.,For Sale,6/28/2023,PKR79 Lakh
3603,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,122 Sq. Yd.,For Sale,6/27/2023,PKR60 Lakh
3604,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",5,4,322 Sq. Yd.,For Sale,6/27/2023,PKR2.75 Crore
3605,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,122 Sq. Yd.,For Sale,6/28/2023,PKR95 Lakh
3606,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,106 Sq. Yd.,For Sale,6/30/2023,PKR66 Lakh
3607,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,106 Sq. Yd.,For Sale,6/27/2023,PKR90 Lakh
3608,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,2,122 Sq. Yd.,For Sale,6/27/2023,PKR1 Crore
3609,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,110 Sq. Yd.,For Sale,7/18/2023,PKR38.5 Lakh
3610,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",1,-,53 Sq. Yd.,For Sale,7/18/2023,PKR28.5 Lakh
3611,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",1,1,53 Sq. Yd.,For Sale,7/18/2023,PKR31.5 Lakh
3612,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",1,-,54 Sq. Yd.,For Sale,7/18/2023,PKR26 Lakh
3613,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,94 Sq. Yd.,For Sale,7/18/2023,PKR43.5 Lakh
3614,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,179 Sq. Yd.,For Sale,7/18/2023,PKR1.07 Crore
3615,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,106 Sq. Yd.,For Sale,7/4/2023,PKR60 Lakh
3616,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,7/4/2023,PKR1.7 Crore
3617,House,Sindh,Karachi,"Scheme 33, Karachi, Sindh",6,4,120 Sq. Yd.,For Sale,7/18/2023,PKR1.7 Crore
3618,House,Sindh,Karachi,"Scheme 33, Karachi, Sindh",6,4,120 Sq. Yd.,For Sale,7/18/2023,PKR1.9 Crore
3619,House,Sindh,Karachi,"Navy Housing Scheme Karsaz, Karachi, Sindh",6,5,350 Sq. Yd.,For Sale,7/18/2023,PKR11 Crore
3620,Flat,Sindh,Karachi,"Navy Housing Scheme Karsaz, Karachi, Sindh",6,5,467 Sq. Yd.,For Sale,7/18/2023,PKR8.5 Crore
3621,House,Sindh,Karachi,"Gulshan-e-Iqbal Town, Karachi, Sindh",6,6,240 Sq. Yd.,For Sale,7/18/2023,PKR6 Crore
3622,House,Sindh,Karachi,"Gulshan-e-Iqbal Town, Karachi, Sindh",6,6,120 Sq. Yd.,For Sale,7/18/2023,PKR3.25 Crore
3623,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,244 Sq. Yd.,For Sale,6/27/2023,PKR1.9 Crore
3624,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",6,5,500 Sq. Yd.,For Sale,7/11/2023,PKR4.5 Crore
3625,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",5,4,350 Sq. Yd.,For Sale,7/11/2023,PKR2 Crore
3626,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,235 Sq. Yd.,For Sale,7/11/2023,PKR1.55 Crore
3627,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,89 Sq. Yd.,For Sale,7/11/2023,PKR80 Lakh
3628,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,235 Sq. Yd.,For Sale,7/11/2023,PKR1.65 Crore
3629,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",5,4,125 Sq. Yd.,For Sale,7/11/2023,PKR1.45 Crore
